layer,head,score,baseline_logp_p0,baseline_logp_p1,baseline_logp_p2,ablated_logp_p0,delta_p0,ablated_logp_p1,delta_p1,ablated_logp_p2,delta_p2
0,0,-0.025661,-4.603048,-2.965894,-2.869765,-4.472215,-0.130833,-3.023025,0.057131,-2.866484,-0.003281
0,1,-0.148223,-4.603048,-2.965894,-2.869765,-4.223282,-0.379766,-2.925124,-0.040771,-2.845633,-0.024132
0,2,0.003110,-4.603048,-2.965894,-2.869765,-4.513869,-0.089179,-3.028347,0.062453,-2.905820,0.036055
0,3,0.202764,-4.603048,-2.965894,-2.869765,-5.087485,0.484437,-3.090942,0.125048,-2.868571,-0.001194
0,4,-0.069906,-4.603048,-2.965894,-2.869765,-4.399205,-0.203843,-2.977055,0.011161,-2.852729,-0.017036
0,5,0.036904,-4.603048,-2.965894,-2.869765,-4.721604,0.118556,-2.944479,-0.021416,-2.883336,0.013571
0,6,0.270722,-4.603048,-2.965894,-2.869765,-5.365849,0.762801,-2.997187,0.031292,-2.887838,0.018073
0,7,-0.062709,-4.603048,-2.965894,-2.869765,-4.365805,-0.237243,-3.027339,0.061445,-2.857435,-0.012330
0,8,-0.023199,-4.603048,-2.965894,-2.869765,-4.485161,-0.117887,-3.026544,0.060649,-2.857405,-0.012360
0,9,0.008521,-4.603048,-2.965894,-2.869765,-4.623913,0.020865,-2.973783,0.007889,-2.866575,-0.003190
0,10,-0.165676,-4.603048,-2.965894,-2.869765,-4.156911,-0.446136,-2.943630,-0.022265,-2.841138,-0.028627
0,11,0.014388,-4.603048,-2.965894,-2.869765,-4.652195,0.049148,-2.985185,0.019290,-2.844491,-0.025274
0,12,-0.067672,-4.603048,-2.965894,-2.869765,-4.380985,-0.222063,-3.010414,0.044520,-2.844293,-0.025472
0,13,0.045397,-4.603048,-2.965894,-2.869765,-4.662919,0.059871,-3.057844,0.091950,-2.854135,-0.015630
0,14,-0.023892,-4.603048,-2.965894,-2.869765,-4.475069,-0.127979,-3.002758,0.036864,-2.889205,0.019440
0,15,0.017228,-4.603048,-2.965894,-2.869765,-4.602908,-0.000140,-3.009815,0.043920,-2.877670,0.007905
0,16,0.034529,-4.603048,-2.965894,-2.869765,-4.686013,0.082965,-2.990372,0.024478,-2.865909,-0.003856
0,17,0.008290,-4.603048,-2.965894,-2.869765,-4.594895,-0.008152,-3.002851,0.036956,-2.865830,-0.003935
0,18,-0.028586,-4.603048,-2.965894,-2.869765,-4.466803,-0.136245,-3.008582,0.042688,-2.877564,0.007799
0,19,-0.008935,-4.603048,-2.965894,-2.869765,-4.514364,-0.088684,-3.028004,0.062109,-2.869536,-0.000229
1,0,-0.023287,-4.603048,-2.965894,-2.869765,-4.539777,-0.063271,-2.957463,-0.008431,-2.871607,0.001842
1,1,-0.029509,-4.603048,-2.965894,-2.869765,-4.506525,-0.096523,-2.974428,0.008533,-2.869227,-0.000538
1,2,-0.118377,-4.603048,-2.965894,-2.869765,-4.332847,-0.270201,-2.884406,-0.081488,-2.866323,-0.003442
1,3,0.015062,-4.603048,-2.965894,-2.869765,-4.650114,0.047066,-2.963275,-0.002620,-2.870505,0.000740
1,4,-0.022596,-4.603048,-2.965894,-2.869765,-4.534791,-0.068257,-2.960829,-0.005066,-2.875299,0.005534
1,5,-0.003857,-4.603048,-2.965894,-2.869765,-4.599359,-0.003689,-2.960083,-0.005811,-2.867695,-0.002070
1,6,0.022633,-4.603048,-2.965894,-2.869765,-4.682881,0.079834,-2.955637,-0.010258,-2.868089,-0.001676
1,7,0.015027,-4.603048,-2.965894,-2.869765,-4.661368,0.058320,-2.955896,-0.009999,-2.866524,-0.003241
1,8,-0.035702,-4.603048,-2.965894,-2.869765,-4.509976,-0.093072,-2.954208,-0.011687,-2.867419,-0.002347
1,9,-0.018905,-4.603048,-2.965894,-2.869765,-4.549991,-0.053057,-2.961291,-0.004604,-2.870711,0.000946
1,10,0.003408,-4.603048,-2.965894,-2.869765,-4.618936,0.015888,-2.955779,-0.010115,-2.874215,0.004450
1,11,0.006975,-4.603048,-2.965894,-2.869765,-4.625772,0.022724,-2.962049,-0.003845,-2.871811,0.002046
1,12,0.005032,-4.603048,-2.965894,-2.869765,-4.602085,-0.000963,-2.981546,0.015651,-2.870173,0.000408
1,13,0.008016,-4.603048,-2.965894,-2.869765,-4.617477,0.014429,-2.970369,0.004475,-2.874908,0.005143
1,14,-0.016760,-4.603048,-2.965894,-2.869765,-4.601997,-0.001051,-2.923430,-0.042465,-2.863001,-0.006764
1,15,-0.016751,-4.603048,-2.965894,-2.869765,-4.558255,-0.044793,-2.967592,0.001697,-2.862607,-0.007158
1,16,-0.059077,-4.603048,-2.965894,-2.869765,-4.459952,-0.143095,-2.931381,-0.034514,-2.870142,0.000377
1,17,0.027372,-4.603048,-2.965894,-2.869765,-4.785841,0.182793,-2.874348,-0.091547,-2.860634,-0.009131
1,18,0.130274,-4.603048,-2.965894,-2.869765,-4.992582,0.389534,-2.974870,0.008975,-2.862079,-0.007686
1,19,-0.022667,-4.603048,-2.965894,-2.869765,-4.532583,-0.070465,-2.965107,-0.000787,-2.873015,0.003250
2,0,0.014090,-4.603048,-2.965894,-2.869765,-4.655474,0.052426,-2.957145,-0.008749,-2.868359,-0.001406
2,1,0.018237,-4.603048,-2.965894,-2.869765,-4.655684,0.052637,-2.966858,0.000964,-2.870877,0.001112
2,2,-0.092625,-4.603048,-2.965894,-2.869765,-4.319577,-0.283471,-2.964808,-0.001087,-2.876449,0.006684
2,3,0.035117,-4.603048,-2.965894,-2.869765,-4.705603,0.102555,-2.968031,0.002136,-2.870424,0.000659
2,4,0.005316,-4.603048,-2.965894,-2.869765,-4.616488,0.013440,-2.959608,-0.006286,-2.878558,0.008793
2,5,0.030577,-4.603048,-2.965894,-2.869765,-4.710581,0.107533,-2.947933,-0.017962,-2.871925,0.002160
2,6,-0.010355,-4.603048,-2.965894,-2.869765,-4.579122,-0.023926,-2.959832,-0.006063,-2.868688,-0.001077
2,7,0.009939,-4.603048,-2.965894,-2.869765,-4.630493,0.027445,-2.965010,-0.000885,-2.873021,0.003256
2,8,0.031459,-4.603048,-2.965894,-2.869765,-4.702652,0.099604,-2.954421,-0.011473,-2.876012,0.006247
2,9,-0.016775,-4.603048,-2.965894,-2.869765,-4.569353,-0.033695,-2.947453,-0.018441,-2.871577,0.001812
2,10,-0.015894,-4.603048,-2.965894,-2.869765,-4.575620,-0.027428,-2.949768,-0.016126,-2.865636,-0.004129
2,11,0.018041,-4.603048,-2.965894,-2.869765,-4.649249,0.046201,-2.969491,0.003596,-2.874091,0.004326
2,12,0.019576,-4.603048,-2.965894,-2.869765,-4.672332,0.069284,-2.958273,-0.007621,-2.866829,-0.002936
2,13,0.036554,-4.603048,-2.965894,-2.869765,-4.722869,0.119822,-2.947731,-0.018164,-2.877769,0.008004
2,14,0.022454,-4.603048,-2.965894,-2.869765,-4.664614,0.061566,-2.971370,0.005476,-2.870084,0.000319
2,15,-0.017013,-4.603048,-2.965894,-2.869765,-4.568620,-0.034428,-2.945797,-0.020097,-2.873252,0.003487
2,16,-0.078539,-4.603048,-2.965894,-2.869765,-4.370180,-0.232868,-2.955302,-0.010592,-2.877609,0.007844
2,17,-0.059378,-4.603048,-2.965894,-2.869765,-4.432470,-0.170578,-2.965345,-0.000550,-2.862759,-0.007006
2,18,0.002739,-4.603048,-2.965894,-2.869765,-4.619023,0.015975,-2.958578,-0.007316,-2.869324,-0.000441
2,19,-0.022035,-4.603048,-2.965894,-2.869765,-4.535637,-0.067410,-2.969345,0.003451,-2.867620,-0.002146
3,0,0.037483,-4.603048,-2.965894,-2.869765,-4.684447,0.081399,-2.983039,0.017145,-2.883669,0.013904
3,1,-0.001115,-4.603048,-2.965894,-2.869765,-4.609713,0.006665,-2.960601,-0.005293,-2.865050,-0.004715
3,2,-0.008847,-4.603048,-2.965894,-2.869765,-4.583203,-0.019845,-2.962219,-0.003676,-2.866744,-0.003021
3,3,0.027593,-4.603048,-2.965894,-2.869765,-4.682660,0.079612,-2.967261,0.001366,-2.871565,0.001800
3,4,0.023122,-4.603048,-2.965894,-2.869765,-4.638253,0.035205,-2.988812,0.022918,-2.881009,0.011244
3,5,0.055344,-4.603048,-2.965894,-2.869765,-4.784584,0.181536,-2.958255,-0.007639,-2.861902,-0.007863
3,6,-0.002788,-4.603048,-2.965894,-2.869765,-4.601268,-0.001780,-2.958743,-0.007152,-2.870332,0.000567
3,7,0.024713,-4.603048,-2.965894,-2.869765,-4.687537,0.084489,-2.958026,-0.007869,-2.867283,-0.002482
3,8,0.022140,-4.603048,-2.965894,-2.869765,-4.660012,0.056964,-2.970260,0.004366,-2.874855,0.005090
3,9,0.076416,-4.603048,-2.965894,-2.869765,-4.819829,0.216781,-2.973523,0.007629,-2.874604,0.004839
3,10,0.005285,-4.603048,-2.965894,-2.869765,-4.618425,0.015377,-2.965175,-0.000719,-2.870961,0.001196
3,11,0.031821,-4.603048,-2.965894,-2.869765,-4.694219,0.091171,-2.972358,0.006463,-2.867593,-0.002172
3,12,0.016822,-4.603048,-2.965894,-2.869765,-4.650381,0.047333,-2.971184,0.005290,-2.867609,-0.002156
3,13,0.058314,-4.603048,-2.965894,-2.869765,-4.781395,0.178347,-2.965826,-0.000069,-2.866429,-0.003336
