layer,head,score,baseline_logp_p0,baseline_logp_p1,baseline_logp_p2,ablated_logp_p0,delta_p0,ablated_logp_p1,delta_p1,ablated_logp_p2,delta_p2
0,0,-0.065115,-8.244192,-3.356693,-3.107275,-8.073712,-0.170480,-3.327755,-0.028938,-3.111349,0.004073
0,1,0.045882,-8.244192,-3.356693,-3.107275,-8.342551,0.098359,-3.399501,0.042808,-3.103754,-0.003522
0,2,0.017820,-8.244192,-3.356693,-3.107275,-8.254709,0.010517,-3.402482,0.045788,-3.104431,-0.002844
0,3,0.016062,-8.244192,-3.356693,-3.107275,-8.277726,0.033534,-3.358870,0.002176,-3.119752,0.012477
0,4,-0.032257,-8.244192,-3.356693,-3.107275,-8.205027,-0.039165,-3.316792,-0.039901,-3.089570,-0.017705
0,5,-0.014704,-8.244192,-3.356693,-3.107275,-8.209766,-0.034426,-3.363806,0.007113,-3.090477,-0.016799
0,6,-0.017042,-8.244192,-3.356693,-3.107275,-8.163211,-0.080981,-3.376088,0.019395,-3.117736,0.010461
0,7,0.008158,-8.244192,-3.356693,-3.107275,-8.249961,0.005769,-3.376175,0.019482,-3.106500,-0.000775
0,8,-0.017460,-8.244192,-3.356693,-3.107275,-8.162702,-0.081491,-3.379317,0.022623,-3.113762,0.006487
0,9,-0.017550,-8.244192,-3.356693,-3.107275,-8.215572,-0.028620,-3.346667,-0.010026,-3.093271,-0.014005
0,10,-0.003008,-8.244192,-3.356693,-3.107275,-8.233395,-0.010798,-3.359330,0.002637,-3.106413,-0.000862
0,11,0.009876,-8.244192,-3.356693,-3.107275,-8.248092,0.003900,-3.377207,0.020513,-3.112491,0.005216
0,12,-0.011870,-8.244192,-3.356693,-3.107275,-8.222562,-0.021630,-3.351375,-0.005318,-3.098614,-0.008661
0,13,-0.021267,-8.244192,-3.356693,-3.107275,-8.221832,-0.022360,-3.333570,-0.023123,-3.088958,-0.018318
0,14,-0.001717,-8.244192,-3.356693,-3.107275,-8.236417,-0.007775,-3.359025,0.002331,-3.107567,0.000291
0,15,0.007596,-8.244192,-3.356693,-3.107275,-8.238951,-0.005241,-3.388505,0.031812,-3.103493,-0.003782
0,16,-0.042610,-8.244192,-3.356693,-3.107275,-8.064666,-0.179526,-3.413779,0.057086,-3.101886,-0.005390
0,17,-0.046580,-8.244192,-3.356693,-3.107275,-8.157420,-0.086772,-3.315287,-0.041406,-3.095713,-0.011563
0,18,-0.027527,-8.244192,-3.356693,-3.107275,-8.191380,-0.052813,-3.339784,-0.016910,-3.094416,-0.012859
0,19,-0.027654,-8.244192,-3.356693,-3.107275,-8.201717,-0.042475,-3.319043,-0.037650,-3.104437,-0.002838
1,0,0.015256,-8.244192,-3.356693,-3.107275,-8.270964,0.026772,-3.382388,0.025695,-3.100576,-0.006700
1,1,-0.013160,-8.244192,-3.356693,-3.107275,-8.199788,-0.044404,-3.365295,0.008602,-3.103597,-0.003679
1,2,0.023331,-8.244192,-3.356693,-3.107275,-8.254969,0.010777,-3.397708,0.041014,-3.125477,0.018201
1,3,0.006906,-8.244192,-3.356693,-3.107275,-8.235126,-0.009067,-3.385382,0.028689,-3.108373,0.001097
1,4,0.030896,-8.244192,-3.356693,-3.107275,-8.288627,0.044435,-3.389083,0.032390,-3.123139,0.015864
1,5,0.024480,-8.244192,-3.356693,-3.107275,-8.263237,0.019045,-3.397770,0.041077,-3.120595,0.013319
1,6,0.017268,-8.244192,-3.356693,-3.107275,-8.261664,0.017472,-3.377653,0.020960,-3.120648,0.013372
1,7,0.007229,-8.244192,-3.356693,-3.107275,-8.235965,-0.008227,-3.377266,0.020572,-3.116617,0.009342
1,8,0.006454,-8.244192,-3.356693,-3.107275,-8.230777,-0.013415,-3.377090,0.020396,-3.119656,0.012380
1,9,-0.018415,-8.244192,-3.356693,-3.107275,-8.199553,-0.044640,-3.345579,-0.011115,-3.107784,0.000509
1,10,0.020214,-8.244192,-3.356693,-3.107275,-8.250251,0.006059,-3.398122,0.041429,-3.120429,0.013153
1,11,0.007481,-8.244192,-3.356693,-3.107275,-8.221772,-0.022420,-3.376568,0.019875,-3.132264,0.024989
1,12,0.020442,-8.244192,-3.356693,-3.107275,-8.230783,-0.013409,-3.417600,0.060906,-3.121104,0.013828
1,13,0.022453,-8.244192,-3.356693,-3.107275,-8.259251,0.015059,-3.383464,0.026771,-3.132803,0.025528
1,14,0.055306,-8.244192,-3.356693,-3.107275,-8.361883,0.117691,-3.387705,0.031012,-3.124492,0.017216
1,15,0.076989,-8.244192,-3.356693,-3.107275,-8.345721,0.101529,-3.470410,0.113716,-3.122997,0.015721
1,16,-0.007543,-8.244192,-3.356693,-3.107275,-8.265066,0.020874,-3.348753,-0.007941,-3.071714,-0.035561
1,17,0.001239,-8.244192,-3.356693,-3.107275,-8.224705,-0.019487,-3.375863,0.019170,-3.111310,0.004035
1,18,0.016584,-8.244192,-3.356693,-3.107275,-8.238110,-0.006083,-3.397275,0.040581,-3.122529,0.015253
1,19,0.017796,-8.244192,-3.356693,-3.107275,-8.266140,0.021948,-3.376972,0.020278,-3.118436,0.011161
2,0,-0.178119,-8.244192,-3.356693,-3.107275,-7.791310,-0.452882,-3.336274,-0.020420,-3.046219,-0.061056
2,1,-0.007582,-8.244192,-3.356693,-3.107275,-8.201740,-0.042452,-3.360312,0.003619,-3.123363,0.016087
2,2,-0.044939,-8.244192,-3.356693,-3.107275,-8.115467,-0.128725,-3.333229,-0.023464,-3.124649,0.017373
2,3,-0.053310,-8.244192,-3.356693,-3.107275,-8.096306,-0.147886,-3.350527,-0.006167,-3.101397,-0.005878
2,4,-0.001074,-8.244192,-3.356693,-3.107275,-8.245013,0.000821,-3.341462,-0.015231,-3.118462,0.011187
2,5,-0.058004,-8.244192,-3.356693,-3.107275,-8.097036,-0.147156,-3.331556,-0.025137,-3.105557,-0.001718
2,6,-0.002284,-8.244192,-3.356693,-3.107275,-8.218212,-0.025980,-3.351599,-0.005095,-3.131498,0.024223
2,7,0.067078,-8.244192,-3.356693,-3.107275,-8.298205,0.054013,-3.455047,0.098353,-3.156144,0.048868
2,8,-0.180471,-8.244192,-3.356693,-3.107275,-7.838969,-0.405223,-3.285261,-0.071432,-3.042516,-0.064759
2,9,0.029549,-8.244192,-3.356693,-3.107275,-8.268850,0.024658,-3.389642,0.032949,-3.138316,0.031040
2,10,-0.315745,-8.244192,-3.356693,-3.107275,-7.393848,-0.850344,-3.363180,0.006487,-3.003899,-0.103377
2,11,-0.072822,-8.244192,-3.356693,-3.107275,-8.049903,-0.194289,-3.330206,-0.026487,-3.109584,0.002309
2,12,-0.082177,-8.244192,-3.356693,-3.107275,-8.046184,-0.198009,-3.347125,-0.009568,-3.068320,-0.038956
2,13,-0.042922,-8.244192,-3.356693,-3.107275,-8.148729,-0.095463,-3.323376,-0.033318,-3.107291,0.000016
2,14,0.020006,-8.244192,-3.356693,-3.107275,-8.274989,0.030797,-3.371549,0.014855,-3.121641,0.014365
2,15,-0.070786,-8.244192,-3.356693,-3.107275,-8.103515,-0.140677,-3.302245,-0.054449,-3.090043,-0.017232
2,16,-0.035240,-8.244192,-3.356693,-3.107275,-8.189032,-0.055161,-3.321268,-0.035425,-3.092141,-0.015134
2,17,-0.005813,-8.244192,-3.356693,-3.107275,-8.198162,-0.046030,-3.390861,0.034167,-3.101699,-0.005577
2,18,0.523497,-8.244192,-3.356693,-3.107275,-8.684046,0.439854,-4.264373,0.907680,-3.330233,0.222958
2,19,-0.023738,-8.244192,-3.356693,-3.107275,-8.172581,-0.071611,-3.353006,-0.003688,-3.111362,0.004086
3,0,-0.104731,-8.244192,-3.356693,-3.107275,-7.912665,-0.331527,-3.329140,-0.027553,-3.152164,0.044888
3,1,-0.027397,-8.244192,-3.356693,-3.107275,-8.182436,-0.061756,-3.353827,-0.002866,-3.089706,-0.017569
3,2,-0.004627,-8.244192,-3.356693,-3.107275,-8.241877,-0.002316,-3.346725,-0.009969,-3.105679,-0.001596
3,3,-0.032188,-8.244192,-3.356693,-3.107275,-8.180948,-0.063244,-3.328810,-0.027883,-3.101837,-0.005438
3,4,-0.128151,-8.244192,-3.356693,-3.107275,-7.983895,-0.260297,-3.301445,-0.055248,-3.038366,-0.068910
3,5,-0.003487,-8.244192,-3.356693,-3.107275,-8.238046,-0.006146,-3.354936,-0.001757,-3.104720,-0.002556
3,6,-0.037742,-8.244192,-3.356693,-3.107275,-8.151415,-0.092777,-3.338616,-0.018077,-3.104904,-0.002372
3,7,0.004136,-8.244192,-3.356693,-3.107275,-8.253424,0.009232,-3.358469,0.001775,-3.108675,0.001400
3,8,-0.004724,-8.244192,-3.356693,-3.107275,-8.239610,-0.004582,-3.351181,-0.005512,-3.103198,-0.004077
3,9,0.017993,-8.244192,-3.356693,-3.107275,-8.260140,0.015948,-3.383534,0.026841,-3.118464,0.011189
3,10,-0.082676,-8.244192,-3.356693,-3.107275,-8.047530,-0.196662,-3.317534,-0.039160,-3.095068,-0.012208
3,11,-0.013386,-8.244192,-3.356693,-3.107275,-8.207784,-0.036408,-3.356291,-0.000402,-3.103928,-0.003348
3,12,-0.013504,-8.244192,-3.356693,-3.107275,-8.206654,-0.037539,-3.355073,-0.001621,-3.105922,-0.001353
3,13,-0.006301,-8.244192,-3.356693,-3.107275,-8.183640,-0.060553,-3.378282,0.021589,-3.127336,0.020061
3,14,0.024939,-8.244192,-3.356693,-3.107275,-8.278392,0.034200,-3.380412,0.023719,-3.124174,0.016899
3,15,-0.183887,-8.244192,-3.356693,-3.107275,-7.767828,-0.476364,-3.290820,-0.065874,-3.097851,-0.009424
3,16,-0.025376,-8.244192,-3.356693,-3.107275,-8.208137,-0.036056,-3.333944,-0.022750,-3.089951,-0.017324
3,17,0.009346,-8.244192,-3.356693,-3.107275,-8.271537,0.027345,-3.368488,0.011795,-3.096174,-0.011102
3,18,-0.019375,-8.244192,-3.356693,-3.107275,-8.185485,-0.058707,-3.335879,-0.020814,-3.128673,0.021398
3,19,-0.009205,-8.244192,-3.356693,-3.107275,-8.222176,-0.022017,-3.354620,-0.002074,-3.103750,-0.003526
4,0,0.006983,-8.244192,-3.356693,-3.107275,-8.257444,0.013252,-3.364834,0.008141,-3.106831,-0.000445
4,1,-0.002077,-8.244192,-3.356693,-3.107275,-8.237547,-0.006645,-3.355267,-0.001427,-3.109115,0.001840
4,2,0.013708,-8.244192,-3.356693,-3.107275,-8.290588,0.046396,-3.350231,-0.006462,-3.108466,0.001191
4,3,0.037820,-8.244192,-3.356693,-3.107275,-8.322670,0.078478,-3.377387,0.020694,-3.121563,0.014288
4,4,0.023437,-8.244192,-3.356693,-3.107275,-8.309008,0.064816,-3.360481,0.003788,-3.108982,0.001707
4,5,0.003397,-8.244192,-3.356693,-3.107275,-8.249266,0.005074,-3.353906,-0.002787,-3.115179,0.007904
4,6,-0.006702,-8.244192,-3.356693,-3.107275,-8.196548,-0.047644,-3.379789,0.023096,-3.111718,0.004443
4,7,0.024263,-8.244192,-3.356693,-3.107275,-8.308277,0.064085,-3.364626,0.007933,-3.108047,0.000772
4,8,0.069968,-8.244192,-3.356693,-3.107275,-8.355021,0.110828,-3.446000,0.089307,-3.117043,0.009768
